Time in ms,THREADX,THREADY,THREADZ
2.2,1,128,1
2.3,1,64,1
2.3,1,256,1
2.5,1,512,1
2.5,2,32,1
2.5,2,64,1
2.5,2,128,1
2.7,2,256,1
2.9,1,32,1
3.1,2,16,1
3.2,4,16,1
3.2,4,32,1
3.4,4,64,1
3.4,8,16,1
3.5,1,1024,1
3.5,8,32,1
3.6,8,8,1
3.7,2,512,1
3.7,4,128,1
3.7,8,64,1
4,4,8,1
4.2,1,64,2
4.3,1,128,2
4.4,1,32,2
4.4,8,128,1
4.6,1,256,2
4.6,8,4,1
4.7,2,16,2
4.9,4,256,1
5.1,2,128,2
5.2,2,64,2
5.4,1,16,2
5.4,2,32,2
5.5,4,8,2
5.5,16,8,1
5.8,2,8,2
5.9,16,4,1
6.4,1,512,2
6.4,4,16,2
6.7,4,32,2
6.7,8,8,2
6.7,16,16,1
6.8,8,4,2
6.8,8,16,2
6.9,2,256,2
6.9,4,4,2
7,16,32,1
7.1,8,32,2
7.2,4,64,2
7.9,1,16,4
7.9,16,2,1
8.1,16,64,1
8.2,32,4,1
8.2,32,8,1
8.3,32,16,1
8.3,64,4,1
8.3,64,8,1
8.4,8,64,2
8.4,128,4,1
8.5,8,2,2
8.7,1,64,4
8.7,2,8,4
8.8,1,128,4
8.9,32,32,1
8.9,64,16,1
8.9,128,8,1
9.1,4,128,2
9.2,1,32,4
9.6,32,2,1
9.6,128,2,1
9.7,256,4,1
10.2,64,2,1
10.3,1,8,4
10.4,256,2,1
10.5,2,16,4
10.5,4,4,4
10.6,2,32,4
10.6,2,64,4
10.8,4,8,4
10.8,16,4,2
10.9,16,8,2
11.1,16,2,2
11.2,2,4,4
12.1,1,256,4
12.5,8,2,4
12.7,128,1,1
12.8,2,128,4
12.8,64,1,1
13.2,4,16,4
13.3,4,2,4
13.5,8,8,4
13.5,32,1,1
13.7,256,1,1
13.8,16,16,2
14,8,16,4
14.3,4,32,4
14.3,8,4,4
14.6,1024,1,1
14.7,16,1,2
15,16,32,2
15.4,1,8,8
15.5,1,16,8
15.7,512,1,1
16.1,512,2,1
16.2,32,4,2
16.3,32,2,2
16.3,64,2,2
16.3,64,4,2
16.5,8,32,4
16.5,32,8,2
16.5,128,2,2
16.9,2,4,8
17.3,2,8,8
17.3,64,8,2
17.5,128,4,2
17.6,1,64,8
17.6,32,16,2
17.7,8,1,4
18.1,128,1,2
18.2,1,32,8
18.6,64,1,2
19.3,256,1,2
19.4,4,64,4
20,1,4,8
20.5,16,1,4
20.6,4,2,8
20.6,4,4,8
20.8,2,16,8
20.9,256,2,2
21.4,2,32,8
21.6,16,2,4
21.7,32,1,2
21.8,2,2,8
21.8,16,4,4
22.4,16,8,4
22.6,1,128,8
24.3,8,2,8
26.1,2,64,8
26.3,4,1,8
27.7,8,8,8
27.8,8,1,8
27.8,8,4,8
28.2,4,8,8
28.3,4,16,8
29.8,16,16,4
30.5,1,4,16
30.5,1,8,16
31.5,512,1,2
31.6,1,16,16
32.5,32,2,4
32.5,64,2,4
32.6,64,1,4
32.6,128,1,4
32.8,2,2,16
33,8,16,8
33,32,4,4
33.1,2,4,16
34.6,64,4,4
34.9,32,8,4
35.1,128,2,4
35.7,2,8,16
35.7,4,32,8
36.5,1,32,16
38.4,256,1,4
39,16,1,8
40.5,4,1,16
40.5,4,2,16
41.8,32,1,4
42.2,2,16,16
42.6,4,4,16
43.1,2,1,16
43.2,1,2,16
43.5,16,2,8
44.6,16,4,8
44.7,1,64,16
48.7,16,8,8
49.4,8,2,16
52,2,32,16
55.8,8,1,16
56.2,8,4,16
61.1,4,8,16
62,1,8,32
62.4,1,4,32
63.9,2,2,32
64.4,1,2,32
64.7,2,1,32
65,8,8,16
65,64,1,8
66.2,32,2,8
68.2,2,4,32
69,64,2,8
69.7,32,4,8
69.9,128,1,8
70.5,4,16,16
74.1,2,8,32
78.9,16,1,16
79,4,1,32
82.9,1,16,32
83.5,4,2,32
84.7,32,1,8
90.9,16,2,16
91.9,1,32,32
92.5,4,4,32
97.2,16,4,16
97.7,1,1,32
101.7,8,2,32
102.9,2,16,32
114.4,8,1,32
122.5,1,4,64
126.5,2,1,64
126.6,1,8,64
130.6,8,4,32
130.9,1,2,64
132.5,2,2,64
138.1,64,1,16
139.3,32,2,16
139.4,1,1,64
143.6,2,4,64
148.2,4,8,32
161.4,16,1,32
162.7,4,1,64
171.5,32,1,16
182.1,4,2,64
188.1,2,8,64
193.7,1,16,64
193.8,16,2,32
211.8,8,1,64
233.4,4,4,64
242,8,2,64
303.1,32,1,32
354.2,16,1,64
