Time in ms,THREADX,THREADY,THREADZ
7,1,64,1
7.1,1,128,1
7.2,1,256,1
7.4,2,32,1
7.6,1,512,1
7.6,2,64,1
7.8,2,128,1
8.3,2,256,1
8.6,1,32,1
8.8,4,16,1
9.2,4,32,1
9.3,4,64,1
9.8,4,128,1
10.4,8,16,1
10.7,8,32,1
10.8,1,1024,1
11,4,8,1
11.2,8,8,1
11.3,8,64,1
11.4,2,16,1
11.4,2,512,1
12.8,4,256,1
13.2,1,32,2
13.4,1,64,2
13.7,1,128,2
14.1,8,128,1
14.3,2,16,2
14.4,1,256,2
14.4,8,4,1
15.7,2,64,2
16,2,32,2
16,2,128,2
16.4,16,16,1
16.5,16,8,1
16.6,1,16,2
17,16,32,1
17.5,16,4,1
17.7,2,8,2
17.9,4,16,2
18.7,4,32,2
19.6,16,64,1
20.3,8,8,2
20.4,1,512,2
20.5,4,64,2
20.8,4,4,2
20.9,8,4,2
21.1,8,16,2
21.2,2,256,2
21.9,8,32,2
24.5,4,128,2
24.7,64,8,1
24.8,1,16,4
24.8,32,4,1
24.8,32,16,1
25,64,4,1
25.3,128,4,1
25.6,16,2,1
26.6,64,16,1
26.9,8,64,2
27,8,2,2
27,32,32,1
27.4,32,8,1
27.7,128,8,1
28.3,1,128,4
28.9,1,64,4
31,256,4,1
31.5,2,16,4
31.6,2,32,4
31.6,32,2,1
31.9,1,8,4
32,128,2,1
32.2,2,64,4
32.4,16,4,2
33.3,16,8,2
33.5,2,8,4
33.7,16,16,2
34.1,64,2,1
34.2,2,4,4
34.3,1,32,4
35.1,4,8,4
35.4,256,2,1
36.7,4,16,4
37.9,1,256,4
38.6,16,32,2
39.3,4,32,4
39.9,8,4,4
40.3,4,4,4
40.8,2,128,4
41,4,2,4
41,8,8,4
41.7,16,2,2
43.2,32,1,1
43.3,8,16,4
46,8,2,4
47.2,128,1,1
47.9,64,1,1
48,16,1,2
48.1,1,8,8
48.5,4,64,4
48.7,64,4,2
48.8,1,16,8
49.3,64,2,2
49.5,32,2,2
50.3,128,2,2
50.4,256,1,1
50.9,1024,1,1
51.5,8,1,4
52.3,8,32,4
52.3,32,4,2
53.2,2,4,8
53.2,64,8,2
53.5,32,16,2
54.7,512,2,1
54.8,512,1,1
55.5,32,8,2
56,1,64,8
59.5,32,1,2
60.6,128,1,2
60.8,128,4,2
61.7,2,16,8
61.9,1,4,8
61.9,256,2,2
63.1,4,2,8
63.1,64,1,2
64.2,2,32,8
64.6,16,4,4
64.8,16,1,4
65.8,2,8,8
67,16,8,4
67.5,2,2,8
68.4,256,1,2
69.3,1,32,8
72.4,4,8,8
73.2,1,128,8
75.7,8,1,8
76.6,16,16,4
76.7,4,16,8
80,4,4,8
80.3,4,1,8
81.3,2,64,8
81.3,8,4,8
81.8,16,2,4
85.8,8,8,8
87.5,8,2,8
93.4,1,4,16
94.9,1,8,16
96.3,4,32,8
97.1,64,2,4
97.9,32,2,4
98,32,1,4
98.5,64,1,4
99.1,128,1,4
99.6,1,16,16
101.7,2,4,16
102.1,2,2,16
104.2,8,16,8
105.2,64,4,4
106.8,512,1,2
107.4,128,2,4
110.7,32,8,4
119.1,16,1,8
120.6,256,1,4
122,1,2,16
123.7,4,1,16
123.8,4,2,16
124,32,4,4
125.2,2,8,16
126.9,2,16,16
132.4,2,1,16
134.1,16,4,8
140.7,16,2,8
141,1,32,16
142.7,1,64,16
142.9,8,1,16
150.4,4,4,16
152,4,8,16
152.5,16,8,8
157.6,8,2,16
158.7,2,32,16
170.8,8,4,16
184.5,1,4,32
185.8,1,2,32
188.8,4,16,16
192.4,32,1,8
193.1,1,8,32
194,64,1,8
196.3,32,2,8
198.8,2,2,32
203.7,1,16,32
206.2,8,8,16
209.7,64,2,8
209.8,4,8,2
211.4,32,4,8
212.2,2,1,32
212.2,2,4,32
213.2,128,1,8
234,16,1,16
236.9,2,8,32
239.3,1,1,32
241.7,4,1,32
258.6,4,2,32
270.2,16,2,16
290.3,4,4,32
291.5,8,1,32
306.1,1,32,32
306.4,16,4,16
311.9,2,16,32
315.9,8,2,32
364.7,1,1,64
366.1,1,2,64
373,4,8,32
374.5,1,4,64
390.5,2,1,64
392.6,32,1,16
393.4,1,8,64
408.1,8,4,32
409.4,2,2,64
416.8,64,1,16
421.7,32,2,16
441.6,2,4,64
484.8,16,1,32
496.1,4,1,64
521.1,1,16,64
557.3,4,2,64
579.7,2,8,64
609.6,16,2,32
609.9,8,1,64
719.6,4,4,64
753.6,8,2,64
838.6,32,1,32
1101.8,16,1,64
